chr1	1	167280
chr1	217281	257582
chr1	307583	461231
chr1	511232	2624080
chr1	2674081	3835128
chr1	3895129	5335220
chr1	5385221	12975585
chr1	13025586	13142499
chr1	13192500	13429749
chr1	13479750	16998245
chr1	17048246	29750669
chr1	29800670	103636494
chr1	103686495	103843838
chr1	103893839	120498679
chr1	120548680	120738218
chr1	120788219	121186957
chr1	141476958	141672545
chr1	141722546	141909284
chr1	141959285	142134339
chr1	142184340	142386048
chr1	142436049	142562525
chr1	142612526	142807140
chr1	142857141	142935838
chr1	142985839	143113101
chr1	143163102	143333770
chr1	143383771	143422081
chr1	143522082	144544475
chr1	144594476	144876007
chr1	144926008	146492662
chr1	146542663	146727982
chr1	146777983	146950771
chr1	147000772	147221084
chr1	147271085	147726269
chr1	147776270	204189330
chr1	204239331	204498844
chr1	204548845	221814469
chr1	221864470	233258834
chr1	233308835	246974833
chr1	247024834	247199719
chr10	50001	5627110
chr10	5677111	18014681
chr10	18064682	37452179
chr10	37452181	38858841
chr10	38908842	39194941
chr10	41674942	41866693
chr10	41916694	45746970
chr10	45896971	46849175
chr10	46999176	47262482
chr10	47412483	47575713
chr10	47725714	48715542
chr10	48865543	50807416
chr10	50857417	51068851
chr10	51118852	54570234
chr10	54570237	59697708
chr10	59697710	61152811
chr10	61152813	63991069
chr10	63991071	63991071
chr10	63991073	64010161
chr10	64010163	81231464
chr10	81241465	116055814
chr10	116055816	125859462
chr10	125909463	128606059
chr10	128656060	133271394
chr10	133281395	133527517
chr10	133577518	135374737
chr11	50001	1152759
chr11	1169336	50740429
chr11	50947430	51450781
chr11	54450782	68846377
chr11	68848983	69367726
chr11	69367827	69437111
chr11	69454900	87366026
chr11	87378027	95927232
chr11	95942795	134452384
chr12	16001	6780728
chr12	6780730	6780964
chr12	6780966	7059293
chr12	7132294	34747961
chr12	36142962	74791940
chr12	75041941	107857874
chr12	107914875	120449419
chr12	120449620	121006020
chr12	121156021	122494033
chr12	122494234	122526674
chr12	122526775	131272065
chr12	131317066	132289534
chr13	17918001	85658325
chr13	85708326	111151995
chr13	111551996	113373994
chr13	113473995	113658050
chr13	113758051	114127980
